sentence,label,idx
"beyond road warrior , it owes enormous debts to aliens and every previous dragon drama ",1,37647
lopez romantic comedy ,1,18233
as some of the recent hollywood trip tripe ,0,63954
"will dip into your wallet , swipe 90 minutes of your time , and offer you precisely this in recompense : a few early laughs scattered around a plot as thin as it is repetitious ",0,24200
"it 's a treat -- a delightful , witty , improbable romantic comedy with a zippy jazzy score ... grant and bullock make it look as though they are having so much fun . ",1,5343
is eerily convincing as this bland blank of a man with unimaginable demons within ,1,11680
doing unpleasant things to each other and themselves ,0,26231
could n't someone take rob schneider and have him switch bodies with a funny person ,0,30626
the story is smart and entirely charming in intent and execution . ,1,29676
enhanced by a surplus of vintage archive footage ,1,6498
completely serviceable and quickly forgettable ,0,34793
dreamy and ,1,5532
"the story has its redundancies , and the young actors , not very experienced , are sometimes inexpressive ",0,3308
"like all great films about a life you never knew existed , it offers much to absorb and even more to think about after the final frame . ",1,39889
this deeply moving french drama develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times . ,1,43924
does n't bode well for the rest of it ,0,273
much of all about lily chou-chou is mesmerizing : ,1,19247
comforting fantasies ,1,14552
"the jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious ",0,57106
"sexy , violent , self-indulgent and maddening ",0,31199
severe body odor ,0,25986
"in spite of all that he 's witnessed , remains surprisingly idealistic ",1,20848
your favorite pet get buried alive ,0,64187
only has about 25 minutes of decent material . ,0,55773
that 's apparently just what ( aniston ) has always needed to grow into a movie career ,1,29766
"is always a joy to watch , even when her material is not first-rate ",1,936
visual delight ,1,35002
a terrific b movie -- ,1,8425
"is a pan-american movie , with moments of genuine insight into the urban heart ",1,45750
a funny and well-contructed black comedy where the old adage `` be careful what you wish for '' is given a full workout . ,1,37114
stunning images and effects ,1,17436
"appears jagged , as if filmed directly from a television monitor , while the extensive use of stock footage quickly becomes a tiresome cliché . ",0,59021
its hard to imagine having more fun watching a documentary ... ,1,41931
the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be . ,1,19193
well-timed explosion ,1,59786
the effort is sincere and the results are honest ,1,25928
effective in all its aspects ,1,54257
", and for the memorable character creations ",1,52922
"'s weird , wonderful , and not necessarily for kids ",1,56656
moulin rouge ,1,22599
illustrates the ability of the human spirit to overcome adversity . ,1,33951
as boring before i see this piece of crap again ,0,18905
you 'd swear you ,1,50689
walks a tricky tightrope between being wickedly funny and just plain wicked ,0,51470
an old-fashioned but emotionally stirring adventure tale ,1,62041
probably wo n't have you swinging from the trees hooting it 's praises ,0,18379
a fascinating glimpse of urban life and the class warfare that embroils two young men ,1,39488
"is a dark , gritty , sometimes funny little gem ",1,19762
to courage and happiness ,1,40526
a ton of laughs ,1,40063
rich in shadowy metaphor ,1,52064
"transcends its agenda to deliver awe-inspiring , at times sublime , visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derring-do puts the x into the games ",1,21449
a whole lot ,1,58826
"enactments , however fascinating they may be as history , are too crude to serve the work especially well ",0,39151
the ring never lets you off the hook . ,1,64192
emotional conviction ,1,13087
bubbly ,1,6211
an erotic thriller that ,1,62714
ca n't help but get caught up in the thrill of the company 's astonishing growth . ,1,62165
dramatically lackluster ,0,7168
"they come , already having been recycled more times than i 'd care to count ",0,58320
rarely has sex on screen been so aggressively anti-erotic . ,0,31732
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , ",1,62557
a couple of saps stuck in an inarticulate screenplay ,0,54977
", self-assured ",1,34005
"( hayek ) throws herself into this dream hispanic role with a teeth-clenching gusto , ",1,31713
"odd , inexplicable and unpleasant ",0,34479
the ease with which it integrates thoughtfulness and pasta-fagioli comedy ,1,41453
speaks for itself ,1,19990
"zhuangzhuang creates delicate balance of style , text , and subtext that 's so simple and precise that anything discordant would topple the balance , ",1,19652
"seems content to dog-paddle in the mediocre end of the pool , and it 's a sad , sick sight ",0,30895
you might want to check it out ,1,8550
the trappings of i spy are so familiar you might as well be watching a rerun . ,0,58329
", you 'd probably turn it off , convinced that you had already seen that movie . ",0,44711
the threat implied in the title pokémon 4ever is terrifying ,0,2691
in its own simplicity ,1,10186
is hereby given fair warning . ,0,48609
by an angel simplicity ,1,46610
dead ,0,63321
his movie veers like a drunken driver through heavy traffic ,0,53706
viewers will wish there had been more of the `` queen '' and less of the `` damned . '' ,0,42599
sweetness and vulnerability ,1,60419
reverent ,1,7519
celluloid heaven ,1,11645
real visual charge ,1,18005
animation back 30 years ,0,47357
almost everyone growing up believes their family must look like `` the addams family '' to everyone looking in ... `` my big fat greek wedding '' comes from the heart ... ,1,15132
has the requisite faux-urban vibe and hotter-two-years-ago rap and r&b names and references . ,0,26995
's so not-at-all-good ,0,16113
all but spits out denzel washington 's fine performance in the title role . ,1,47887
"polished , well-structured film . ",1,21741
an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair ,1,18401
no worse ,0,41397
"has been written so well , that even a simple `` goddammit ",1,36425
's fairly lame ,0,62185
"overall , it 's a very entertaining , thought-provoking film with a simple message ",1,41414
like a fragment of an underdone potato ,0,16344
crafted a solid formula for successful animated movies ,1,7117
interesting to witness the conflict from the palestinian side ,1,54377
amusements ,1,53391
a generic bloodbath that often becomes laughably unbearable when it is n't merely offensive . ,0,38212
it 's not just a feel-good movie ,1,64060
you to give it a millisecond of thought ,1,11665
imaginatively mixed cast ,1,10469
almost everyone growing up believes their family must look like `` the addams family '' to everyone looking in ,1,689
the character 's gripping humanity ,1,5610
a dash of the avant-garde fused with their humor ,1,42436
"forgets about her other obligations , leading to a tragedy which is somehow guessable from the first few minutes , maybe because it echoes the by now intolerable morbidity of so many recent movies ",0,56618
"'s a work that , with humor , warmth , and intelligence , captures a life interestingly lived . ",1,42328
ultimately the story compels ,1,59502
to put a lump in your throat while reaffirming washington as possibly the best actor working in movies today ,1,47257
it 's waltzed itself into the art film pantheon . ,1,19261
"there 's an admirable rigor to jimmy 's relentless anger , and to the script 's refusal of a happy ending , but as those monologues stretch on and on , you realize there 's no place for this story to go but down ",0,38815
caper thrills ,1,36662
"the unexpected thing is that its dying , in this shower of black-and-white psychedelia , is quite beautiful . ",1,12216
cowardly ,0,10673
little doubt that kidman has become one of our best actors ,1,23120
"makes the same mistake as the music industry it criticizes , ",0,3702
"slow and ponderous , ",0,33832
with grace and humor and gradually ,1,62142
the ending is all too predictable and far too cliched to really work ,0,57638
"elegantly crafted but emotionally cold , a puzzle whose intricate construction one can admire but is difficult to connect with on any deeper level . ",0,39329
more measured or polished production ,1,65951
a child 's interest and an adult 's patience ,0,52883
delivered dialogue and a heroine who comes across as both shallow and dim-witted ,0,65548
as inept as big-screen remakes of the avengers and the wild wild west . ,0,38710
", crocodile hunter has the hurried , badly cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster 's path of destruction . ",0,48611
dave barry 's popular book ,1,51467
leave you marveling at these guys ' superhuman capacity to withstand pain ,1,65613
"the fascination comes in the power of the huston performance , which seems so larger than life and yet so fragile , and ",1,60266
not counting a few gross-out comedies i 've been trying to forget ,0,59562
"is so bad , that it 's almost worth seeing because it 's so bad . ",0,55485
well to cram earplugs ,0,849
"is a genuine love story , full of traditional layers of awakening and ripening and separation and recovery ",1,34376
"payne has created a beautiful canvas , ",1,31596
makes for one of the most purely enjoyable and satisfying evenings at the movies i 've had in a while ,1,39839
in by the sympathetic characters ,1,45258
"turns out to be clever , amusing and unpredictable ",1,54939
up as the worst kind of hubristic folly ,0,20728
genuine narrative ,1,18563
"is at once playful and haunting , an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends . ",1,3989
", insightfully human ",1,66679
"an evanescent , seamless and sumptuous stream ",1,17190
is that van wilder does little that is actually funny with the material . ,0,15818
whirlwind ,1,10565
that assumes you are n't very bright ,0,18410
"by halfway through this picture i was beginning to hate it , and , of course ",0,39101
the biggest problem ,0,53652
absurd collection ,0,3142
"er , bubbly ",1,23435
originality ,1,43278
lustrous polished ,1,4981
"those who are only mildly curious , i fear , will be put to sleep or bewildered by the artsy and often pointless visuals . ",0,13010
after one gets the feeling that the typical hollywood disregard for historical truth and realism is at work here ,0,29142
wears its empowerment ,1,31456
powerful look ,1,54975
left off the film 's predictable denouement ,0,10218
"enough , but nothing new ",0,9626
the plot holes are big enough for a train car to drive through -- if kaos had n't blown them all up ,0,52246
that the e-graveyard holds as many good ideas as bad is the cold comfort that chin 's film serves up with style and empathy . ,1,33279
"( toback 's ) fondness for fancy split-screen , stuttering editing and pompous references to wittgenstein and kirkegaard ... blends uneasily with the titillating material . ",0,58142
", sometimes beautiful adaptation ",1,158
none can equal ,1,61942
a bittersweet drama ,1,63128
with the ferocity of a frozen burrito ,0,14976
a disappointment ,0,26043
results from adhering to the messiness of true stories ,0,18794
grace that still leaves shockwaves ,1,57852
"bluto blutarsky , we miss you . ",1,28748
"delighted with the fast , funny , and even touching story ",1,53063
"the movie is concocted and carried out by folks worthy of scorn , and ",0,13203
i like all four of the lead actors a lot and ,1,30176
and it is n't that funny . ,0,63595
references to faith and rainbows to plant smile-button faces on that segment of the populace that made a walk to remember a niche hit ,1,22395
are just too many characters saying too many clever things and getting into too many pointless situations ,0,36890
a barf bag ,0,4788
has little insight into the historical period and its artists ,0,62140
technically superb ,1,5115
"a movie , a vampire soap opera that does n't make much ",0,4563
succeeds as a powerful look at a failure of our justice system . ,1,36922
is more likely to induce sleep than fright ,0,43711
"like its bizarre heroine , it irrigates our souls . ",1,33761
watching this film with an audience full of teenagers fixating on its body humor and reinforcement of stereotypes ,0,29108
every bit as distinctive ,1,12322
is as padded as allen 's jelly belly ,0,66474
is sure to win viewers ' hearts ,1,41902
see the forest for the trees ,1,1380
vibrant and intoxicating ,1,65243
about as humorous ,0,33283
was particularly funny ,1,21986
"is visually smart , ",1,20450
can be as tiresome as 9 seconds of jesse helms ' anti- castro ,0,23530
might add -- slice of comedic bliss ,1,56007
a compelling story of musical passion against governmental odds ,1,45521
have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching ,1,26552
at its best ,1,61372
may be the performances of their careers ,1,49109
would be a lot better if it pared down its plots and characters to a few rather than dozens ... or if it were subtler ... or if it had a sense of humor ,0,15041
worst excesses ,0,15176
"ice age wo n't drop your jaw , but it will warm your heart , and i 'm giving it a strong thumbs up . ",1,28851
plays like a glossy melodrama that occasionally verges on camp . ,0,60548
"even a hardened voyeur would require the patience of job to get through this interminable , shapeless documentary about the swinging subculture . ",0,33681
a bit cold and ,0,37920
is a battle of witlessness between a not-so-bright mother and daughter and an even less capable trio of criminals ,0,41322
"'s consistently funny , in an irresistible junior-high way , and consistently free of any gag that would force you to give it a millisecond of thought . ",1,18024
exciting and well-paced ,1,5199
unrelentingly grim -- and ,0,5367
... may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence . ,0,48636
do well to cram earplugs in their ears and ,0,3510
clever angle ,1,49891
"set out to lampoon , anyway . ",0,52988
sweet cinderella story ,1,45209
", she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions . ",1,23676
"is , in a word , brilliant as the conflicted daniel . ",1,12913
dignified ,1,27311
by its predictable plot and paper-thin supporting characters ,0,59010
ally mcbeal-style fantasy sequences ,1,47834
class warfare ,0,41336
"priggish , lethargically paced parable of renewal . ",0,43530
stuffy and ,0,51752
into feel-good territory ,1,10803
2002 's first great film ,1,22629
"is clever , offbeat and even gritty enough to overcome my resistance . ",1,18600
a lasting impression ,1,42168
funny and also heartwarming without stooping to gooeyness ,1,39669
divine secrets of the ya-ya sisterhood suffers from a ploddingly melodramatic structure ,0,40177
"seems to want to be a character study , but apparently ",0,26908
"is exhaustion , from watching a movie that is dark ( dark green , to be exact ) , sour , bloody and mean . ",0,19185
the bland songs ,0,36921
hitler 's ,0,19444
finds no way to entertain or inspire its viewers ,0,15703
the best advice is : ` scooby ' do n't . ,0,5169
is also elevated by it -- the kind of movie that you enjoy more because you 're one of the lucky few who sought it out . ,1,63631
winds up looking like a bunch of talented thesps slumming it ,0,62899
lacks ,0,65943
"i do n't know if frailty will turn bill paxton into an a-list director , but he can rest contentedly with the knowledge that he 's made at least one damn fine horror movie . ",1,60695
also is n't embarrassed to make you reach for the tissues ,1,42580
edge ,1,26097
might have been called freddy gets molested by a dog ,0,57156
", one could rent the original and get the same love story and parable . ",0,56381
in practically every facet of inept filmmaking ,0,8236
"like shiner 's organizing of the big fight , pulls off enough ",1,27504
frailty fascinates ,1,49140
captures the complicated relationships in a marching band . ,1,12495
do not fit ,0,47480
mesmerizing one ,1,59529
robin williams has thankfully ditched the saccharine sentimentality of bicentennial man in favor of an altogether darker side . ,1,39170
inert sci-fi action thriller ,0,37884
limited chemistry ,0,11546
this pathetic junk is barely an hour long . ,0,23779
'll find in this dreary mess . ,0,55286
"an admitted egomaniac , evans is no hollywood villain , and yet this grating showcase almost makes you wish he 'd gone the way of don simpson . ",0,49073
do n't have a clue on the park . ,0,17313
"an amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine ",1,59372
"worse , ",0,15159
kung pow seems like some futile concoction that was developed hastily after oedekerk and ,0,16528
utterly charming ,1,52504
a chilling tale of one of the great crimes of 20th century france : the murder of two rich women by their servants in 1933 ,1,27117
-- sadly -- ,0,43567
disappointing in comparison to other recent war movies ... or ,0,2574
soul-stirring ,1,18010
the only question ... is to determine how well the schmaltz is manufactured -- to assess the quality of the manipulative engineering . ,0,22992
the rat-a-tat energy ,1,24851
"goosebumps as its uncanny tale of love , communal discord , and justice ",1,51515
knows its classical music ,1,41640
"cold , ",0,54542
"observant , unfussily poetic meditation ",1,29789
so insanely dysfunctional ,0,8530
audience-pleaser ,1,63891
that so many people put so much time and energy into this turkey ,0,6184
it is entertaining on an inferior level . ,0,28581
beautiful paean ,1,1213
"take care is nicely performed by a quintet of actresses , ",1,267
a treatise on spirituality as well as a solid sci-fi thriller ,1,1221
a nicely understated expression of the grief ,1,60381
fluffy neo-noir ,0,33284
never pushes for insights beyond the superficial tensions of the dynamic he 's dissecting ,0,45755
limps along ,0,4990
becoming irritating ,0,22201
spectacular ,1,50652
cinematic razzle-dazzle ,1,48001
surprisingly uninvolving ,0,24568
savvy director robert j. siegel and his co-writers keep the story subtle and us in suspense . ,1,54202
a diverse and astonishingly articulate ,1,6429
"try to create characters out of the obvious cliches , but wind up using them as punching bags ",0,41760
the hanukkah spirit seems fried in pork . ,0,27857
banality and hypocrisy ,0,6536
an old-fashioned but emotionally stirring adventure tale of the kind they ,1,1786
maybe because it echoes the by now intolerable morbidity of so many recent movies ,0,14912
a bad-movie way ,0,61418
tell you that there 's no other reason why anyone should bother remembering it ,0,52280
"'s a stale , overused cocktail using the same olives since 1962 as garnish ",0,17624
"they will have a showdown , but , ",1,57078
is just sooooo tired ,0,31025
notice the flaws ,0,58368
more to think about after the final frame ,1,9084
this marvelous film ,1,23773
: stallion of the cimarron is a winner . ,1,59493
from the classics ,1,21156
this clever and very satisfying picture ,1,3874
the better film 's ability to make its subject interesting to those who are n't part of its supposed target audience ,1,7732
this one is not nearly as dreadful as expected . ,1,21633
an almost palpable sense of intensity ,1,41575
the testosterone-charged wizardry of jerry bruckheimer productions ,1,44471
"at best , cletis tout might inspire a trip to the video store -- in search of a better movie experience . ",0,50293
stale and ,0,46839
loved ,1,5880
"a smart and funny , albeit sometimes superficial , cautionary tale of a technology in search of an artist ",1,1805
"love , longing ",1,17860
"written , flatly , by david kendall ",0,53172
will at least have a dream image of the west to savor whenever the film 's lamer instincts are in the saddle . ,0,35936
", tiresome nature ",0,33830
the needlessly poor quality ,0,20280
splendid singing ,1,43440
"with enthusiasm , sensuality and a conniving wit ",1,33240
"twohy 's a good yarn-spinner , and ultimately the story compels ",1,2255
( hayek ) throws herself into this dream hispanic role with a teeth-clenching gusto ,1,7479
like mere splashing around ,0,41670
ill-conceived and ,0,6672
is that it 's a brazenly misguided project ,0,19331
shockingly bad and absolutely unnecessary ,0,31780
becomes a testament to faith ,1,54457
a mess as this one ,0,2141
a very capable nailbiter . ,1,61891
this much imagination ,1,61961
"it completely contradicts everything kieslowski 's work aspired to , including the condition of art ",0,45602
that would make this a moving experience for people who have n't read the book ,1,52477
excruciating ,0,42293
savvy director robert j. siegel and his co-writers ,1,26227
's not a comedic moment in this romantic comedy . ,0,23626
whimsical and relevant today ,1,800
makes for one of the most purely enjoyable and satisfying evenings at the movies i 've had in a while . ,1,10279
`` simone '' is a fun and funky look into an artificial creation in a world that thrives on artificiality . ,1,8193
the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities . ,0,2990
on a positive ( if tragic ) note ,1,59335
"the first tunisian film i have ever seen , and it 's also probably the most good-hearted yet sensual entertainment i 'm likely to see all year ",1,21358
the best actors ,1,32629
the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling ( though no less horrifying for it ) ,1,65273
"with acting , tone and pace very obviously mark him as a video helmer making his feature debut ",1,15152
( stephen ) earnhart 's film is more about the optimism of a group of people who are struggling to give themselves a better lot in life than the ones they currently have . ,1,33186
all works out ,1,38823
"but the performances of pacino , williams , and swank keep the viewer wide-awake all the way through . ",1,46076
the movie generates plot points with a degree of randomness usually achieved only by lottery drawing . ,0,55170
"color and depth , and ",1,65646
want to bolt the theater in the first 10 minutes ,0,37414
to look american angst in the eye and end up laughing ,1,56875
"story to suit the sensibilities of a young american , a decision that plucks `` the four feathers '' ",1,31427
"hard , endearing , caring , warm . ",1,5252
comeback ,1,32142
"unlikable , uninteresting , unfunny , and ",0,6636
the best and most mature comedy ,1,53617
"to interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor ",1,26391
can get past the taboo subject matter ,1,5757
straight-shooting family film ,1,58605
"his art , which is more than he has ever revealed before about the source of his spiritual survival ",1,23992
group articulates a flood of emotion . ,1,12428
so much that he refuses to evaluate his own work ,0,3171
it pretends to investigate ,0,32459
"there 's a plethora of characters in this picture , ",1,12825
"the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration . ",0,25782
resemble the shapeless ,0,25077
i did n't particularly like e.t. the first time i saw it as a young boy ,0,9062
by a plot that 's just too boring and obvious ,0,67187
danis ,1,21391
a weird and wonderful comedy . ,1,50579
comic energy ,1,49184
sluggish pacing ,0,61408
"is clever and funny , ",1,32964
"walked out muttering words like `` horrible '' and `` terrible , '' but had so much fun dissing the film that they did n't mind the ticket cost ",0,13168
hide new secretions ,0,3437
is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing . ,0,53029
any real emotional impact ,0,46411
"serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . ",1,36195
"o fantasma is boldly , confidently orchestrated , aesthetically and sexually , and its impact is deeply and rightly disturbing ",1,11610
the superficial tensions of the dynamic he 's dissecting ,0,12144
"is overlong and not well-acted , but credit writer-producer-director ",0,33643
highly entertaining ,1,34199
adams just copies from various sources ,0,22306
", washington has a sure hand . ",1,20546
wo n't like looking at it ,0,48220
"works spectacularly well ... a shiver-inducing , nerve-rattling ride ",1,11943
dramatic enough to sustain interest ,1,13221
somewhat tired ,0,10369
your first instinct is to duck ,0,59142
"a chilly , remote , emotionally distant piece ... so dull that its tagline should be : ` ",0,29609
"has none of the crackle of `` fatal attraction '' , `` 9 1/2 weeks '' , or even `` indecent proposal '' , and feels more like lyne 's stolid remake of `` lolita '' ",0,61205
"a china shop , a provocateur crashing into ideas and special-interest groups as he slaps together his own brand of liberalism ",1,51081
acted and directed ,0,19536
", revolution # 9 proves to be a compelling ",1,21243
that the less charitable might describe as a castrated ,0,15943
that old adage about women being unknowable gets an exhilarating new interpretation in morvern callar . ,1,2885
rare to find a film to which the adjective ` gentle ' applies ,1,23801
"adams , with four scriptwriters , takes care with the characters , who are so believable that you feel what they feel . ",1,53077
intelligent romantic thriller ,1,11373
feel like three hours ,0,45194
really won my heart ,1,8504
a fanciful motion picture ,1,39100
a devastating indictment of unbridled greed and materalism . ,0,17954
dicey screen material ,0,13605
"a timid , soggy near miss . ",0,29936
's already done way too often ,0,60121
quietly hopeful ,1,59861
"this ready-made midnight movie probably wo n't stand the cold light of day , but under the right conditions , it 's goofy ( if not entirely wholesome ) fun ",1,42414
"though there 's a clarity of purpose and even-handedness to the film 's direction , the drama feels rigged and sluggish . ",0,64094
gives ample opportunity ,1,53598
one of its strengths ,1,625
skit-com material fervently deposited on the big screen . ,0,28348
's a sit down and ponder affair ,1,54798
a great cast and ,1,9842
like ,1,47814
would pay a considerable ransom not to be looking at ,0,19489
should make it required viewing in university computer science departments for years to come ,1,21464
is definitely worth seeing ,1,15119
with attractive men ,1,19127
maryam is more timely now than ever . ,1,40601
a tremendous piece ,1,18087
"is too heady for children , and too preachy for adults ",0,24008
loses its ability to shock and amaze ,0,17501
thriller junk ,0,5669
mumbo jumbo ,0,65006
"she is a lioness , protecting her cub , and he a reluctant villain , ",1,61072
"does n't contain half the excitement of balto , or quarter the fun of toy story 2 . ",0,33852
contemptuous of the single female population ,0,35926
"a confluence of kiddie entertainment , sophisticated wit and symbolic graphic design . ",1,16822
director charles stone iii applies more detail to the film 's music than to the story line ; what 's best about drumline is its energy ,1,40346
painfully flat ,0,66826
", manipulative ",0,12824
"a standard police-oriented drama that , were it not for de niro 's participation , would have likely wound up a tnt original . ",0,37435
"after one gets the feeling that the typical hollywood disregard for historical truth and realism is at work here , it 's a matter of finding entertainment in the experiences of zishe and the fiery presence of hanussen . ",1,11212
the direction is intelligently accomplished ,1,10500
to hand it to director george clooney for biting off such a big job the first time out ,1,37082
worse than bland ,0,12544
a movie ever could be ,1,65674
"if the film fails to fulfill its own ambitious goals , it nonetheless sustains interest during the long build-up of expository material . ",1,62002
that is more accurate than anything i have seen in an american film ,1,18872
"see a feature that concentrates on people , a project in which the script and characters hold sway ",1,17724
"most anime , whose most ardent fans outside japan seem to be introverted young men with fantasy fetishes ",0,21794
no sense of pride or shame ,0,63821
effortlessly draws you in ,1,35431
summer audience ,1,59887
buoyant feeling ,1,32680
has not a trace of humanity or empathy ,0,61782
"the worst kind of mythologizing , the kind that sacrifices real heroism and abject suffering for melodrama . ",0,9073
remains ,0,23578
", it might be like trying to eat brussels sprouts . ",0,17132
need of some trims ,0,58400
the sweetest thing leaves an awful sour taste . ,0,44622
"pretension about the film , which very simply sets out to entertain and ends up delivering in good measure ",1,39502
"effective enough at achieving the modest , crowd-pleasing goals it sets for itself ",1,49356
a jaw-droppingly beautiful work that upends nearly every cliché of japanese animation while delivering a more than satisfactory amount of carnage . ,1,12088
cry for your money back ,0,53471
gussied up with so many distracting special effects and visual party tricks that it 's not clear whether we 're supposed to shriek or ,0,49669
as i 'm the one that i want ,1,20850
everyone 's ,1,8251
which become strangely impersonal and abstract ,0,60794
"there 's too much forced drama in this wildly uneven movie , about a young man 's battle with his inescapable past and uncertain future in a very shapable but largely unfulfilling present . ",0,62462
an irresistible blend of warmth and humor ,1,63432
's supposed to be a romantic comedy ,0,9932
a summer of good stuff ,1,902
as the scruffy sands of its titular community ,0,15444
there surrender $ 9 and 93 minutes of unrecoverable life ,0,5562
is one of those rare pictures ,1,48806
are lukewarm and quick to pass . ,0,7217
"wonders , enhancing the cultural and economic subtext , bringing richer meaning to the story 's morals . ",1,26389
"keep you at the edge of your seat with its shape-shifting perils , political intrigue and brushes with calamity ",1,35770
' and ` realistic ' ,1,58507
me grinning ,1,62866
seamless ,1,66052
give blade fans another look at wesley snipes ' iconic hero doing battle with dozens of bad guys -- at once ,1,33153
"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy . ",1,67147
sporting one of the worst titles in recent cinematic history ,0,34449
as beautifully shaped ,1,18550
