comment_text,toxic
"""Many of us on the right are tired of being called racist, homophobes, and other derogatory names just because we do not support the latest leftist cause.""

Nope, many people on the right are labeled for what they SAY and DO, not because of the ""latest leftist cause"". Trump is an avowed racist...that is a fact. Why support racism?",0
"Actually, yes.  There are tons of very walkable neighborhoods in LA, including Hollywood, Los Feliz, Downtown (which has completely transformed in the past 5-10 years), etc.  You can't walk across the entire city given how geographically big it is, but it is certainly possible to live in LA and get by just fine without owning a car.  LA even has a pretty decent subway system, which most people don't even know about.",0
"I disagree with your comment.  What is the problem with waiting for a finished product to be showcased?  This only means a delay in voting in 2016 to the fall of 2017.  Roosevelt campus for the most part should be complete and ready for classes in Sept. 2017.  Franklin is also on the same time schedule.  
In this era of instant gratification what is wrong with waiting one more year?  Is the district hiding something?  Has anyone asked if these buildings will withstand  the ""Big ONE""?  We were sold a bill of goods based on our children surviving just such an event. 
PPS have some restraint and show us what we will have invested for a $$$$ billion+ dollars.",0
Payne probably thought the others would do the same. Bundy is a hypocrite. He says he respects the Judge and the courts but says otherwise before he was arrested.,1
"It's ridiculous that these guys are being called ""protesters"". Being armed is a threat of violence, which makes them terrorists.",1
You're an idiot.,1
"I think your comment is very thoughtful. (Seriously, it made me laugh. I laugh with everything. Even so.)",0
"All this attention on Bullseye, god forbid someone tests moss from North Portland or St. Johns. Siltronic uses all sorts of toxic chemicals",0
that's first cavalry division (AIRMOBILE),0
"I totally agree that personal finance classes should be required. But I think we still need to teach respect for human dignity. Losing political correctness does not mean it is OK for a presidential candidate to question the penis size of his opponent or for that opponent to say ""I like to punch him"" to a protester.  Imagine what teaching high school government is like today. You cant' even show the actions of those running. 
In this country you can have your beer, your finger, your cuss words, your gun and your vote. In what country does it get any better than that?",1
"Yes, those who rejoice in death are mentally ill.  It is unfortunate that we have so many in America.",1
"I never said the cat was on his property, but if it was, and he caught it there....dum da da dum dum duuuum.....

Bonus: 
1. No pet owner would witness the demise of their pet due to their own ignorance or inconsiderate behavior.
2. No waste of police resources on a response.
3. No waste of taxpayer resources on court or incarceration.",0
"Another woman in an abusive relationship with a controlling, manipulating, isolating abuser ending in tragedy.
RIP Rachel.",1
Silat you are a moron,1
"Interesting you of all people accuse others of trolling when in fact thats exactly what YOU did and you suffered the consequences of it. Your wide array of diversionary tactics such as focusing on arbitrary details while avoiding personal accountability for your actions are unsustainable. A trial includes both criminal and civil proceedings and any attorney, reference book or attorney will tell you that. If you , the self appointed troll of the ""rapists"" find it your job to tell everyone the truth about your truth the way you see it, then there should be no problem with me being a appointed watchdog for those like yourself who attempt to re-define what is real. You messed up...no fancy, manipulative speech is going to change that. The less straightforward you are, the deeper hole you dig. You're transparent. There are better ways of getting laid  like being a man accountable for his actions. Not by being a whiny socialist with unresolved mother issues avoiding responsibility.",1
I'm all for anything that makes it harder to obtain and keep a driver license.,0
"The comment about enslaving white people was rhetorical and affirmative action is not discrimination but reparation--payment for a debt. 
The white power structure consists of a bunch of super rich deadbeat racist thieves and murderers. Save your pop psychology billhooper, the dispossessed  know how to make themselves ""feel better.""",1
"While I noticed his fairly late arrival, I missed that allegation.  I just figured he was vacationing on his private island in the Caribbean.",0
"Okay, you can vote to control the tobacco purchase age. Could you elected folks please do something about all the illegal substances available in Lane County to all age groups????? Our beautiful county is looking bad these days. Terrible roads, homeless people, panhandlers in every city, polluted lakes, trash along the highways. More affordable trash services. Maybe extend the plastic bag ban to all of the county, not just the Eugene area.",0
"This is an outrageous act of asinine stupidity. Warning people of dangerous sociopaths is suddenly punishable because the sociopath might feel ""emotional distress?"" What the hell?! Thousands of police departments in the USA publish the same type of information on their official web sites! It's a public service to everyone, including potential victims. Phil Hutchinson deserves praise, not punishment. Argh! Ahhh! Eeeeeh! IRATE!",1
"I just - I just can't tell if you're serious. It's baffling. I'm baffled.

So, Martin, are you telling us you invoked your grandfather as a virtue signal of your own working-class credibility, despite never having met him? How impossibly disrespectful of you. I'm glad your grandfather has passed; it spares him the heart-stabbing shame of an ungrateful, pedantic little snot of a grandson who would seek to ride his coveralls into righteousness. He deserves better than someone like you.

The simple line in Atlantic City- 

 put on your stockings, babe / night's getting cold 

has more weight as art than anything a weak-tea punk like you could create in a million lifetimes. I was deeply moved by that single, almost whispered line when I bought the album at the age of 22, in the year 2000. Did you know he recorded that record alone, on a 4-track? Do you even know what a 4-track is? He covered Suicide on that record, in 1982. 

Do you even know who Suicide is, you smarmy little creep?",1
"Bernie isn't a democrat, he is a socialist running on the democrat ticket. Even so he is a hell of lot better then the pathological liar Hillary. Seeing how Hillary is leading Bernie speaks volumes as just how morally and mentally bankrupt democrats truly are to even support such a low life as Hillary.",1
"These are terrorists.  They  are not people like me.  They are not Oregonians, but invaders from Arizona, Utah, Idaho, Nevada, Ohio, Tennesee, Alabama, and more.  They are used to being chased by the law in their own jurisdictions, not used to being the law.  They are criminals.",1
"Anything to add other than your own racial hangups? 

White guilt goes fine with Sunday brunch, the ability to pay your bills, but it doesn't make a comedian any funnier.",0
"Just a hunch. The city usually approves zoning changes, or is willing to move the MUPTE boundary for developers. It's not a real cliff-hanger.",0
"""You’ll also be able to retain your Disqus user name under the new Civil platform.""
Actually no you cannot. 
I even tried several variations of my disqus user name.
So you can signup, you just can't use your own name.",0
Not to worry.  The current First Lady has almost 20 staff.  Bill will have interns to help him meet his duties as First Gentleman.,0
I agree!,0
"I think that here we have a very good example of some of the current problems that in the larger picture, have put us in the state we are in: People are more willing to believe a lie they like than the truth they don't.
Let's avoid the Rice and Powell defense as another issue. The simple question is: Did Bowers make an accurate statement that Clinton is a criminal? 
Many people believe she has committed a crime. The web is replete with such accusations. The sheer quantity and quality of  of accusations would lead some to believe she is guilty, and thus a criminal.  This overwhelms the criteria that one is innocent until proven guilty which is basic to our legal system. 
Now Bowers may have an opinion that Clinton is a criminal but to him it is a fact. He has convicted Clinton, as have others.
Now that opinions are facts and criminals are convicted by accusations,  discourse turns to who can yell lies the loudest. People might not trust the legal system, but it's what keeps us civil.",0
This guy is incredibly dumb. He's going to be eaten alive in Los Angeles.,1
what are supposed to see in the pic?  the behind of a guy in a suit?  really?  ok...,1
"Every driver from the state of Oregon that drives for Uber/Lyft is committing insurance fraud. This is because as as of right now and since their beginning operation in the city of Portland no insurance company in Oregon will insure you if you tell them truthfully you are commercially using your vehicle for ride share. In other markets,  like Texas, there is gap insurance available  but right now it is a major public safety issue in Oregon.   Also being a large competitive advantage vs commercially insured shuttles, town cars,  limos, and taxis. If you want to operate a vehicle driving people around for money you should  have have commercial insurance,  its that simple.",0
The referee is shit!,1
"Carrying a loaded firearm with your finger on the trigger on one of those things?  I wonder what other great decisions were being made by that individual.  I agree with Hoverboard Nation, they're here to stay.  They just need to take care of some of the technical bugs.  The stupid things people are going to do on one them will always be around.  I wonder if anyone has ever shot someone with a gun while falling off a skateboard.",1
"You're assuming this man is telling the truth about that and yet, this is not the only animal he has abused or killed.",1
"Part 1 of 2 due to WW's cruddy comment system:

Home ownership certainly can bring wealth accumulation, but have you thought about why?  I think the answer is racism, exclusion, and inequity.

A brief history of American homeownership:  racial zoning codes, race covenants, explicitly discriminatory practices by government agencies like FHA, HOLC, explicitly discriminatory practices by realtors, covert discrimination by lenders and other players in the real estate industry, and, when all of those other defenses failed, racial violence and intimidation by regular citizens.  We can add to that the wildly inequitable mortgage interest deduction, by which homeowners benefit from government largesse far more than renters do, and of course Oregon's own particularly bizarre property tax system.",0
"your delusions do not make it truth. You are the enabler of this obnoxious dysfunction.
 I speak from experience. My Chickasaw family is from Snow, Oklahoma. In an act of desperation my grandma and her 12 kids thumbed a ride to Oregon coming here destitute to look for work, and overcome poverty through a work ethic. I myself came to Eugene living on the streets looking for work.
 Standing on a street corner holding a sign professionally begging without shame or dignity is not looking for work. That is a vagrant leech who is looking for a fool, and their money shall soon depart to fund their criminal dysfunction. This is where people like you go straight into denial and what makes you the enablers of this obnoxious dysfunction plaguing our community today.
 Countless illegal aliens travel to Oregon every year and manage to find jobs supporting themselves, and their family back home.",1
I advise the Feds to follow the money that is given to these anti American religious sovereign terrorists.,1
"Lynn Porter, you could not refute anything I posted, and like a dysfunctional child you flagged the post, and then bragged about it like a child.  Now, perhaps to a dysfunctional child your obnoxiousness is fun, but at the adults table it's obnoxious dysfunction. Acting like a dysfunctional child does not make your ignorance any less profound. It merely proves my point.",1
People support Trump because he is a breath of fresh air in a politically correct world.  I greatly admire that he refuses to play by same old standard rules and as mc says a President is really pretty limited in power (except with regards to starting wars).,0
"Not quite as dangerous. 32,000 people per year on average nationally are killed in drunk driving situations compared to 4,000 people per year due to distracted driving but your point is still valid. Fines have been increased and yet I still see people blatantly texting and talking on their phones. Perhaps loss of a drivers license for 6 months would cure some of these folks who find it more important to be on their phones and putting peoples lives at risk rather than paying attention and driving.",0
"Democrats have been brutally abusing the emergency clause in OR. Out-of-state antigunners passed a law to end an age-old practice of private sale last year under ""emergency."" With advent of statism and socialism, it's inevitable that we see people's voice dismissed and suppressed. The ruling elite grows more powerful by the day. Sometimes I envy old people. They've got to enjoy the better years of this nation. It sucks to lose freedom so early in my life.",0
Anybody who pays $750 for a $55 ticket is an asshole. That is simple economics. They're the Todd and Margo from Christmas Vacation.,1
"For the purposes of testing, here's my contribution:

lol wut wat a bunch of bullshit

the author is a delusional stupid jerk full of crap

(I just can't bring myself to use stronger profanity and personal attacks.)",1
The design of these is great. Looking forward to next week's. :),0
"So here the Emergency room doc could not even diagnose what was going on, and had to call and talk to an Ear, Nose, Throat doc to figure out what was wrong.  And here there was no medical problem going on at all.  All she had to do was to pull the doggone plug out by the string attached to it.  Heck, any layperson could have done that.  When I saw my own ENT doc afterwards for follow up, she stated that if this had happened during a weekday and I had been able to come into the office, she would have instantly realized what was up, and I would have received immediate relief.  At most, it would have been a basic $150 office visit.

Instead, the idiots at PeaceHealth tortured me for 5 awful hours, lying there struggling to breath, and did nothing to help me for all that time.  Plus she ordered over $4,000 in totally unnecessary tests.

So I fully agree with you.   We have a very poor level of medical care here locally.   There are some good doctors, but we also have a lot of bad ones.",1
"The politicians don't care.  Passing the law for votes is the point. 

 The most recent affirmation of that was Sen Prozanski's 'gun control' legislation requiring person to person background checks. Virtually every police agency and DA in the State pointed out that they did not have the personnel or financial resources to enforce this law.  Several sheriffs and police chiefs had press conferences where they said they would not enforce the law.

Prozanski and the legislature put the Emergency Clause on it so the voters couldn't have an initiative against it.",0
"it is delusional to think these people can be helped. There is a reason why drug-alcohol programs have a pathetic success rate and at best provide a short break in between binges giving their livers a break. They are dead end dead beats void of a work ethic or dignity and no program is ever going to change that fact. Simply put, they refuse to grow up and accept responsibility to support themselves. Programs become their obnoxious enabler, and especially food stamps. Go to the university district and you will find many who live on the streets but work to support their drug-alcohol habits. They'd rather pick up pop cans and scrap metals etc. than work a 9-5 job, which is their choice. I have no problem with that. they are not inflicting their dysfunction on the community. Spirit is a prime example. he lived homeless by choice, but worked. He does amazing carvings and hustled up temp jobs. which brings me to the working poor (to be continued).",1
"That guy was a moron, anyone stupid enough to go for a gun to die by suicide by cop deserves it.",1
"@Doug~

The Olcc allegations are false. Toth never stated the art opening would not have alcohol for the Gremlins event. We planned for it the entire time w Copa wine as a sponsor. This is Olcc kicking up dirt, there was nothing in violation. The suggested donation box was a question for the inspectors when they arrived. They prohibited this so it was not used. It's not a crime to ASK an official prior to make sure your in compliance. 
No alcohol was sold at Canna Ball it was misquoted to say it was not going to be on premise. Lastly, the charge was for SELLING alcohol. All of the folks in attendance and whom have posted know there would never be sold without lisensure. The promoters and sponsors have stated this and there are hundreds of guests and staff willing to testify.",0
"Your ignorance once again is profound, and once again I will confuse you with simple facts. In 1981 the social conservative Jack Kemp, teaming up with Ronald Reagan, pushed through a first time home buyer program that targeted specifically the working poor, and empowered my friend Marty to purchase a home earning $3.35, the federal minimum wage. Kemp-Reagan got people off welfare by lifting Marty's standard of living to entry level middle class. What you advocate chains people to poverty and a dependence on programs.",1
"Lets not discount the write-in vote. I would rather vote for who I feel is the best for the job, not the few presented to me by the oligarchy. Write-in voting could change the face of politics overnight, but voting write-in is an independent thing to do, and most voters seem to be merely sheeple.
Vote write-in and change politics in the peoples favor!",0
"""Probably most 21st-century Americans would agree that wearing, say, blackface or Native American war paint is generally outside the accepted bounds of taste, civility and human decency."" How racist stereotyping of Injuns calling it ""war paint."" Us Injuns have been painting our faces for every occasion under the sun. I only put on ""war paint"" when I come to debate the profound stupidity of Political Correctness.",1
"Loved your article, Matthew. Saw Maher on Colbert and he was such an ass about the subject, basically attacking Colbert for being Catholic. The excesses of religious belief are also obnoxious but Maher makes me want to speak in tongues just to annoy him.",1
"He did not call all Mexicans rapists.   He did say, and it has been proven that some of the illegal aliens are indeed rapists and murders.",1
"You should do your homework before making profoundly ignorant statements in public. My Chickasaw mother was born in Snow, Oklahoma at the height of the dust bowl era, and knew third world poverty. In an act of desperation my grandma and her 12 kids thumbed a ride to Oregon coming here destitute to look for work. My mother grew up in a one room dirt floor shanty. My mother went to work fulltime when she was 13 so she could finish high school. In those days a public education was worth fighting for. My mother scrimped and saved to send me to England, to live with my legal immigrant father's family so I could attend school as she could no longer ignore the absolute incompetence of Oregon public schools. To further address your ignorance, I live well below the federal poverty level. All 3 of my children went to college because I made damn sure they had an education. As for your profound stupidity, I'll point out the obvious, Singapore has already shown you how it's done.",1
"Excellent question. Two reasons answer your question; #1 welfare reform booted the social parasites off of welfare and #2 these dead end dead beat social parasites refuse to accept the responsibilities that come with adulthood. So long as liberalism, a social disease, enables their obnoxious criminal dysfunction, they never have to take responsibility for their life.",0
LTD is playing Kabuki Theater.,0
"Modern hypocrisy run amok.  We lock up humans in cages for decades for non-violent ""crimes,"" while protesting about animals who simply perform.  Let's go bomb some middle easterners before our afternoon free orcas meeting.",0
Carl you will be missed.,0
"Perhaps your dictionary also has definitions for ""pedant"" and ""sanctimonious.""",1
"its not the camping, its the mounds of garbage. I don't care if people sleep in tents but the kinds of campers all along waterfront and out on the trail are the very worst offenders and clearly didn't get the pack in pack out message. that's what the city seems to be tolerating. giant shit heaps along otherwise pretty corridors. if the city is going to allow camping it better give its garbage men a raise!!!",1
"JP says:  ""Trump is a product of many angry, mostly white Americans""

Racist stereotyping duly noted.",1
"You are, once again, confusing 'Rights' with 'Demands'.  And totally ignoring the concept of 'Responsibility' by your adorable pets.",0
"Our votes mattered in 2000. They might matter again. But, I would be in favor of rescheduling our primaries and closing our general election early on election day so that we could release results at the same time as the East Coast. Unfortunately, making those changes is not as easy as it sounds.",0
I see Mr.  Finicum as Don Quixote in a Stetson.   I personally think that he knew precisely what he was doing when he drove away from those who had him stopped.,0
"and yet none of these liberal clowns have a problem with liberal corporations like Saturday Market claiming they own public property in downtown Eugene. While these liberal clowns demand Citizens United being repealed because corporations should not possess equal rights of citizens, they have no problem with liberal corporations like Saturday Market- Lane County Farmers Market being granted, by fiat, far more rights than the citizens who own the property they operate on. Never underestimate the staging hypocrisy of liberal bigots.",1
Fuck this guy flag his post,1
"you can't refute what I state so an emotional cripple like you resorts to puking this crap. But I expect that from emotional cripples justifying the cats of this nation destroying other peoples property and killing over 1 billion song birds every year,. what a moron like you fails to understand is if the cat owner was responsible with their pet, their pet wouldn't be dead.",1
We're only losing $5 a unit. Don't worry we'll make it up in volume.,0
"You appear to be making the same assumptions of our government being prone to ""tyranny"" that the Malheur occupiers did.

These people who participated in this criminal act are widely supported by well known and documented anti-government hate groups.    These people represent a clear danger to commit further criminal acts, including intimidation and violence.   To argue that this officer should have a target painted on his back, and his family to also then be allowed to also be targeted, is an argument that is extremely irresponsible for anyone to make.   Members of law enforcement do not sign up to become targets of terrorists.

When Muslim extremists attacked that Mohammed Cartoon event in Garland, TX 9 months ago, the name of the officer that killed both of the  extremists was withheld from the public, and was  never released.

This incident at the Malheur Refuge is no different, as it also involves extremists with radical viewpoints that are heavily armed and prone to violence.",0
"We've heard many times that the Constitution should be followed. Originalists want no interpretation of the founding document. Ironically, Scalia held these beliefs: ""he [the President] shall nominate, and by and with the Advice and Consent of the Senate, shall appoint ... Judges of the supreme Court...""
It does not say, ""unless it is an election year"". Supposedly Democrats including the President are Hippocrates. 
How is refusing to consider a nomination not only unconstitutional but also a hippocratic response to so-called constitutionalists?",1
"At 130 feet long, this boat wouldn't quite make it to the 50 yard line. Still damn big.",1
"Tompaine:  Even you cannot come up with a single specific allegation of wrong doing against Kitzhaber.   You cannot make another person responsible for the actions of another.  If it does turn out that she did actually commit some crimes, one cannot automatically blame Kitzhaber for any wrongdoing by her.

You people are all classic witch hunters.  Not a single one of you can come up with one tangible allegation of wrongdoing by Kitzhaber.  All of your suspicions are based solely on guilt by association, and nothing more.  You should all be characters in Arthur Miller's ""The Crucible"", your attitudes are that classical in nature.

Yes, I feel that he has been stupid to stay with her.    But you cannot condemn a person, just because they made a poor choice about falling in love.   That does not make him a bad person.",0
"Sean Miller belongs in the P12 COY discussion given that he lost Ray Smith to injury before the season started, Kaleb Tarczewski missed 8 games to injury, and Allonzo Trier missed 7 games to injury.  Also, there's too much discussion about Altman exceeding expectations, without any mention that Oregon's expectations were based on Dylan Ennis starting at point guard.  Altman is exceeding expectations, and then some.",0
"When you cut funding for a school, programs are cut, and teachers wither. Education is at stake. So, people go to schools that offer what they want. As Mr. Cranor said below, these are usually students with better-off parents, leaving the poor kids behind. Meanwhile, Marist (just across the river) offers North-region students sports/academic scholarships, increasing transfer #'s. The district notices a decline in enrollment and cuts more. The same process continues. It doesn't end. And it won't. Unless 4J halts the ability for some schools (South Eugene) to flourish while others (North Eugene) scramble to handle cuts in staff and budget. 

Clair Wiles put it perfectly. School choice is segregation, absolutely. Ms. Dragt is absolutely justified in her concerns for a shutdown, because it won't change without action. 

I urge the school board to eliminate school choice and to focus on providing a truly equitable experience for students at all 4 high schools.",0
"I could blame someone else for leading me astray, but I have to admit that I was very easily led (  ; > )",0
"This makes zero sense. You're basically saying you like Hillary because she has a vagina and she plays the political game as a corporate pawn and you think those things are awesome. There is a huge difference on so many levels between Hillary and Bernie and if you don't see that, you have been paying more attention to the fact that Hillary has a vagina than you have to either of their track records in politics.",1
"I mailed my issue, I now see my user name.  We will now see how it posts.",0
"Oh surprise!!!
Taxes are to politicians is no different than heroin to a drug addict",1
"""... students, especially girls, don’t start from home in the clothing they wear at school.""  Been that way since 1960 or so, based on my personal observations.  Then, the girls rolled up their skirts at the waist to shorten them.   Today, near Thurston at least, they seem to roll down their pants at the waist to expose more midriff or their tramp stamps.",0
Use flamethrowers to rid the city of the vermin,1
"Just did my first peer-review... it can be difficult because no context is provided, is there? What if the comment is, ""I completely agree!""? Now, not particularly great content, but certainly sounds civil. But what if that comment is in reply to someone calling someone else, ""you are a puss-filled jerkwad that should be forced to receive many awkward hugs from Ted Cruz!"". It wouldn't be civil to ""completely agree"" to that nasty note, and yet I just gave it a big thumbs up!",1
Finally the right wing grifter traitor is arrested.,1
"After watching that video, it is lucky more people weren't killed.  Finicum was going for his gun, besides he wasn't at all complying with Law Enforcement. In many ways it appears he was trying to distract Law Enforcement.   It is sort of like watching an idiot being shot after trying avoid a major police stop with guns drawn.",1
"The great speech America needs to hear today is a speech Americans do not want to hear. We are deeply divided because of shameless intellectual bankruptcy. The left points to the right and says: ""YOU'RE A MORON!"" While the right points to the left and states: ""YOU'RE AN IDIOT!"" The problem is they're both right. Clowns to the left of me, jokers to the right, here I am, stuck in the middle of these fools.",1
"Ideologies that claim to not see race, like the one you espouse, billhooper5, use the idea of ""not seeing race"" as a way to ignore the institutional, economic, and social practices that perpetuate discrimination, the single most persistent feature of American society. That discrimination in the form of residential segregation, educational segregation, disproportionate incarceration of people of color, employment discrimination, etc. continues to plague American society is well-documented in peer-reviewed research published by scholars from both within and outside of the U.S..",0
"I find this article to be distasteful, at best. The attempt at humor and snark are completely lost on those of us who have a personal relationship with Tilikum, and/or the cast of BlackFish. Not only are there several misrepresentations within this article, it makes Oregonians look completely uneducated. Keiko was released and resided in the waters off of the coast of Oregon. Having said that, we should be proud, as he lived free for five years. 
Choosing to debate wether an apex predator mammal is a fish, or not, is completely off the mark and not even funny. If you knew anything about Tilkum's life and story, the tone of this entire piece could've taken a successful direction. No witnesses' to Keltie Burn's death came forward (at the time) and said it was him. Daniel Dukes jumped in Tili's tank- with a desensitized whale, in 50* water, you're going to get killed. As Far as Dawn? Yes, he killed her. He panicked, b/c of the way it was handled by staff at the time. Nothing funny here.",1
"I suppose you can think whatever you want like everyone else has here so far. Have at it. If it makes you happy to demonize people posting their experiences on a blog, go for it. Everyone needs a devil in order to continue living in denial of their own shortcomings. That's how the Church stayed legit and made serious $ for 2000 years while committing acts of genocide and abuses .",1
Mr. Birran is one impressive human being!,0
"Thank you. FBI, for your good work on ending the criminal actions at the Refuge. In the end the criminals were stopped.",0
"You really shouldn't be writing about something you obviously no nothing about. Well, opinions are like ass holes. Everyone has one.",1
"because people in prineville have guns and would probably shoot trespassers. people in portland are nice but naïve, and think they can save the world, one spanging, youthful hobo at a time. no, it doesn't work that way. you can be kind but we cant help every single kid that jumps a freight train from out of state. I blame those dicks because they have hijacked our collective sympathy, well not mine.. so stop giving beggars change, use a GOOD bike lock,  and maybe word will get out people in portland are stingy. missing a 2k road bike? I see tons in the hands of juggalo crooks down along the river every week.  they wouldn't come here unless the picking were easy. we're all complicit in this matter......",1
"Excellent editorial.
Jeb didn't realize that moderation and basic decency were no longer in fashion within the GOP primary's voters.
He'd actually fit in with the current Democratic party's conservatives a lot better than in the current GOP.",0
"'A Trial is  a formal examination of evidence before a judge, and typically before a jury, in order to decide guilt in a case of criminal or civil proceedings'. So strike three. Look it up yourself in any dictionary. You don't need to know about law , you just need to be literate Phil. You and your camp are obsessed and your obsession has colored the intention and motivation of this case. It was pretty clear to a jury evidently. At the point it's about winning and your vendetta , not about rape or  poor 'defenseless' women.  How selfish and disingenuous. You are a self-appointed watchman. Instead of slathering peoples pictures all over facebook, link people to the se offenders list or encourage other to get educated. They will find people like Brown themselves without your bias included in the information.",1
Make sure you're affiliated with whoever you need to be for the primary in your state... and make sure you turn up and bring as many as you can with you.  This isn't over yet.,0
"PDXlifer says it is ""short cited"" to save the Dockside since he foresees its condemnation within 10 years and that it is negatively affecting future development. If that's the case, why is this entire area booming? Indeed, why is it that people love old buildings and their legends? I think Portland is succeeding precisely because of artifacts like the Dockside. If Portland looked like Phoenix, as some boosters seemingly would like, I doubt its appeal would be as deep or wide. Portland succeeds precisely because it's funky and charming. Take that away, and you have another suburbanized megalopolis that could be anywhere. Please: let's stop with this idea that Portland needs to look like Anywhere, USA. That's why Happy Valley exists.",0
What a disgusting display.,1
"I'm quite sure I've already read this article a few years ago, same statements, same comments, looks like this guy loves to be seen as an idiot, just to gain some click on his ridiculous articles. Good luck loser",1
"Wait, fer real? That went to court?! And he WON?!? For the sake of honesty! We finally made it criminal to tell the truth, and it started here. How sickening. I mean, I kinda get it, being socially shunned sucks, but not being able to inform your community about dangerous individuals sucks even worse. It would be one thing if the allegations were false, but if they're true ... well ... if you don't like the consequences maybe you shouldn't have done the deed? I mean, I made the front page of my city's newspaper for being ""different,"" on the heals of Columbine and on Mother's Day no less, and that was awkward as hell. It never even crossed my mind to accuse the newspaper of any misconduct. I was weird, apparently that was news, and they shared it. Well, fuck me then.",1
"""40-20
12 hours ago
Labeling others with the intent to humiliate is what’s uncivil …… “homophobe”, “bigot”, “hatemonger”, “climate change denier”, “teabagger”, “racist”, “neocon”, “right wing extremist”, ad infinitum.""",1
"Tim: ""...randomizing who gets what comment on what issue, so it separates the peer review from the specific issue. "" Sorry for the density here, but I am not following that. Is that the review process we go through to comment?
What seems to be happening is a method to manage the tendency of commenters to sink to uncivil discourse. That seems to rely not only on programming, but also social psychology and psychology. I am not against social engineering. And this seems to be a classic attempt. Better socially engineered than something that collapses under its own weight.
Anyway, interesting experiment. Will civil discourse generate more clicks than uncivil ""discourse""? (Breitbart does not seem to think so) . We'll see. Feeling like a Norwegian rat here. ;)",1
